"OrigZoneNo","DestZoneNo","HBU_PA"
8382,"8224",1.49409953822473
8304,"8224",1.49409953822473
8340,"8224",1.49409953822473
8268,"8224",1.49409953822473
8282,"8224",2.98819907644946
8299,"8224",1.49409953822473
8253,"8224",1.49409953822473
8248,"8224",1.49409953822473
8290,"8224",1.49409953822473
8308,"8224",1.49409953822473
8312,"8224",2.98819907644946
8292,"8224",1.49409953822473
8315,"8224",1.49409953822473
8256,"8224",2.98819907644946
8251,"8224",1.49409953822473
8262,"8224",1.49409953822473
8252,"8224",1.49409953822473
8218,"8224",4.48229861467419
8255,"8224",28.3878912262699
8209,"8224",1.49409953822473
8211,"8224",28.3878912262699
8208,"8224",5.97639815289892
8213,"8224",20.9173935351462
8210,"8224",11.9527963057978
8215,"8224",5.97639815289892
8216,"8224",14.9409953822473
8217,"8224",8.96459722934838
8232,"8224",8.96459722934838
8219,"8224",13.4468958440226
8220,"8224",20.9173935351462
8237,"8224",16.435094920472
8222,"8224",23.9055926115957
8223,"8224",11.9527963057978
8224,"8224",2.98819907644946
8225,"8224",5.97639815289892
8228,"8224",1.49409953822473
8229,"8224",2.98819907644946
8245,"8224",16.435094920472
8235,"8224",5.97639815289892
8236,"8224",8.96459722934838
8201,"8224",2.98819907644946
8205,"8224",2.98819907644946
8214,"8253",14.9409953822473
8241,"8253",58.2698819907645
8261,"8253",25.3996921498204
8239,"8253",64.2462801436634
8309,"8253",11.9527963057978
8387,"8253",7.47049769112365
8399,"8253",8.96459722934838
8377,"8253",10.4586967675731
8398,"8253",4.48229861467419
8331,"8253",13.4468958440226
8339,"8253",1.49409953822473
8366,"8253",14.9409953822473
8357,"8253",5.97639815289892
8385,"8253",1.49409953822473
8396,"8253",2.98819907644946
8381,"8253",7.47049769112365
8344,"8253",4.48229861467419
8369,"8253",4.48229861467419
8361,"8253",2.98819907644946
8373,"8253",1.49409953822473
8368,"8253",11.9527963057978
8371,"8253",4.48229861467419
8390,"8253",7.47049769112365
8392,"8253",2.98819907644946
